Name,ContinentId,FlagImageUrl
Japan,2,https://cdn.countryflags.com/thumbs/japan/flag-800.png
Argentina,4,https://cdn.countryflags.com/thumbs/argentina/flag-800.png
Brazil,4,https://cdn.countryflags.com/thumbs/brazil/flag-800.png
France,6,https://cdn.countryflags.com/thumbs/france/flag-800.png
England,6,https://cdn.countryflags.com/thumbs/england/flag-800.png
Germany,6,https://cdn.countryflags.com/thumbs/germany/flag-800.png
Portugal,6,https://cdn.countryflags.com/thumbs/portugal/flag-800.png
Australia,7,https://cdn.countryflags.com/thumbs/australia/flag-800.png
Netherlands,6,https://cdn.countryflags.com/thumbs/netherlands/flag-800.png
Spain,6,https://cdn.countryflags.com/thumbs/spain/flag-800.png
Norway,6,https://cdn.countryflags.com/thumbs/norway/flag-800.png