Name,LeagueId,President,CoachId,StadiumId,YearFounded,TrophyCount,BadgeImageUrl
Club Atlético River Plate,1,Rodolfo D'Onofrio,2,8,1901,43,https://tmssl.akamaized.net/images/wappen/head/209.png?lm=1407647555
Club Atlético Boca Juniors,1,Jorge Ameal,3,12,1905,42,https://tmssl.akamaized.net/images/wappen/head/189.png?lm=1511621129
Paris Saint-Germain,5,Nasser Al-Khelaifi,7,1,1950,41,https://tmssl.akamaized.net/images/wappen/head/583.png?lm=1522312728
FC Barcelona,3,Carles Tusquets,6,7,1899,77,https://tmssl.akamaized.net/images/wappen/head/131.png?lm=1406739548
Real Madrid C.F.,3,Florentino Pérez,8,2,1902,77,https://tmssl.akamaized.net/images/wappen/head/418.png?lm=1580722449
Liverpool F.C.,4,Tom Werner,1,3,1892,40,https://tmssl.akamaized.net/images/wappen/head/31.png?lm=1456567819
Manchester United,4,Joel Glazer,,4,1878,40,https://tmssl.akamaized.net/images/wappen/head/985.png?lm=1457975903
AFC Ajax,8,Frank Eijken,5,13,1900,66,https://tmssl.akamaized.net/images/wappen/head/610.png?lm=1458894971
Stoke City,6,Peter Coates,,6,1863,1,https://tmssl.akamaized.net/images/wappen/head/512.png?lm=1472243727
Leeds United,4,Andrea Radrizzani,9,15,1919,9,https://tmssl.akamaized.net/images/wappen/head/399.png?lm=1407654193
Arsenal F.C.,4,Stan Kroenke,,5,1886,31,https://tmssl.akamaized.net/images/wappen/head/11.png?lm=1489787850
Racing Club de Avellaneda,1,Víctor Blanco,10,9,1903,20,https://tmssl.akamaized.net/images/wappen/head/1444.png?lm=1412762689
Sport Club Corinthians Paulista,2,Andrés Sánchez,,11,1910,14,https://tmssl.akamaized.net/images/wappen/head/199.png?lm=1408636801
Santos FC,2,Orlando Rollo,,10,1912,15,https://tmssl.akamaized.net/images/wappen/head/221.png?lm=1412879099
Bayern Munich,9,Herbert Hainer,4,14,1900,57,https://tmssl.akamaized.net/images/wappen/head/27.png?lm=1498251238